name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,property_type,room_type,accommodates,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
Bright 1BR in South End w/ Pool+Gym,12,9,3,12243051,Flatbook,2772,within a few hours,71,Condominium,Entire home/apt,2,189,400,95,3,1125
Top of the South End Brownstone,40,9,2,1592221,Sarah,3538,within a day,90,Apartment,Entire home/apt,5,250,500,100,2,1125
3BR Historic South End Penthouse,2,10,3,17219748,Cecilie,2642,within an hour,100,Apartment,Entire home/apt,6,650,1000,150,2,1125
Classic & Stylish w/ Balcony,3,10,3,4195134,LifestyleFurnishedApartments,3224,within a day,70,Apartment,Entire home/apt,2,110,1000,150,60,365
Drop Dead Gorgeous Spacious Studio,4,9,3,4195134,LifestyleFurnishedApartments,3224,within a day,70,Apartment,Entire home/apt,2,130,1500,150,5,1125
"Very spacious Back Bay, 1 block T",26,8,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,8,155,150,55,1,1125
Stylish Studio in Historic Back Bay,4,10,1,6742925,Danielle,3027,within a few hours,90,Apartment,Entire home/apt,2,200,275,50,1,2
Stylish Studio in heart of Back Bay,75,10,2,7178644,Julie,3002,within a few hours,100,Apartment,Entire home/apt,2,174,325,20,1,8
Posh Studio on Bustling Newbury St,21,10,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,2,199,300,75,3,1125
Sparkling New 2BR / 2BA in Back Bay,83,9,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,5,425,500,125,3,60
Stylish Studio in Elegant Back Bay,17,9,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,2,199,400,75,3,1125
3BR / 2BA + Prvt Deck in Back Bay,95,9,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,7,695,600,150,3,60
Adorable 1Bd Apt in Busy Back Bay,7,9,3,58356283,Sophia,2045,within a few hours,90,Apartment,Entire home/apt,4,225,95,25,1,18
IDEAL LOCATION - 1BR/1BA NEWBURY ST,20,9,2,3713069,Lea,3274,within a few hours,92,Apartment,Private room,2,105,100,50,1,1125
Ahh the Views! 1 Bed with Balcony,5,9,3,4195134,LifestyleFurnishedApartments,3224,within a day,70,Apartment,Entire home/apt,3,175,1500,150,21,365
Quaint Renovated Rowhouse,85,9,2,20582119,Jeff,2579,within an hour,100,Apartment,Entire home/apt,2,180,100,60,1,1125
Back Bay 345,8,9,3,3521413,Elly,3294,within a few hours,100,Condominium,Entire home/apt,4,189,300,150,30,1125
Large 1 Bedroom on St. Botolph,12,10,2,1798561,Jonathan,3494,within a day,100,Apartment,Entire home/apt,3,165,300,85,3,21
"Large, Bright 2 Bedroom in Back Bay",25,9,2,206505,Cecile,4047,within a few hours,100,Apartment,Entire home/apt,5,375,300,35,2,3
"Back Bay, Newbury St. 1BR",31,8,3,65268598,Rob,1996,within an hour,100,Apartment,Entire home/apt,3,163,300,65,1,1125
Back Bay Gem 2,43,10,3,47618394,Liesl,2151,within an hour,100,Apartment,Entire home/apt,2,165,200,60,2,29
Stylish studio in prime Back Bay!,11,9,3,8008692,Randy,2963,within a few hours,100,Apartment,Entire home/apt,2,250,300,75,3,1125
Modern Comfort with Amazing Views,2,10,3,4195134,LifestyleFurnishedApartments,3224,within a day,70,Apartment,Entire home/apt,2,99,1500,150,90,365
Swanky Studio in Historic Back Bay,11,9,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,2,209,400,95,3,1125
Comfortable and Casual Copely Home,68,9,3,16779145,Elizabeth,2652,within an hour,95,Apartment,Entire home/apt,3,200,200,50,1,1125
"BACK BAY, MIT, BU, Green Line, BEST",20,9,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,7,105,99,55,3,1125
Superb 1BR Back Bay Condo,7,10,3,28358624,Len,2396,within a day,90,Condominium,Entire home/apt,3,250,200,50,1,29
Stylish Back Bay Studio,9,10,2,39051883,Gretchen,2251,within a few hours,100,Apartment,Entire home/apt,2,105,500,150,4,365
Back Bay Studio - PrudentialCenter/Copley/Symphony,3,9,3,3041265,Humberto,3342,within an hour,100,Apartment,Entire home/apt,2,145,95,20,2,10
Back Bay Pied a Terre. Fabulous location!,1,10,2,16708213,Leigh Ann,2654,within a few hours,100,Condominium,Entire home/apt,2,170,350,55,2,1125
Live Local- Elegant Boston Brownstone.,4,10,3,76562235,Safia,1927,within a few hours,100,Apartment,Entire home/apt,4,329,1000,100,1,1125
Entire home w/patio -best location,7,8,3,10132799,Ezra,2859,within a day,100,Apartment,Entire home/apt,4,139,200,24,2,1125
Charming south end brownstone,13,10,2,44792241,Lisa,2188,within an hour,100,Apartment,Entire home/apt,2,196,200,90,1,1125
Back Bay-Ctr BOSTON-Lge Rm Pvt Bath,42,9,3,1984434,Irene,3467,within a few hours,100,House,Private room,1,120,500,60,5,365
Private Boston-Back Bay Top Floor w/ Private Deck,3,9,2,51745385,Dennis,2099,within an hour,100,Apartment,Entire home/apt,3,200,100,60,5,8
Beautiful Back Bay apartment 4 you!,4,10,2,45980822,Carolina,2172,within a few hours,90,Apartment,Entire home/apt,3,200,100,60,1,1125
Spacious Back Back Studio Steps from Public Garden,3,10,3,15338241,Scott,2687,within an hour,100,Apartment,Entire home/apt,2,200,200,50,2,4
Back Bay 1-Bedroom next to Newbury,20,10,2,1538079,Tom,3553,within an hour,100,Condominium,Entire home/apt,3,235,150,30,3,14
Back Bay - Newbury St 1 bedroom,23,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,4,194,500,100,2,1125
1 BR on Newbury St,2,10,3,36275619,Sam,2281,within an hour,100,Apartment,Entire home/apt,4,230,500,30,1,1125
Large 2 BR|2 BA + Patio in Back Bay,30,10,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,6,375,475,125,3,45
Classic Brownstone in Historic Area,25,10,2,54361238,Emily And Giuseppe,2075,within a few hours,100,Apartment,Entire home/apt,4,350,500,100,3,14
Amazing Newbury St 1 bedroom,7,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,4,259,500,100,2,1125
Back Bay 1BR Apt / Heart of Boston!,103,10,3,10493424,Nicole,2841,within a few hours,100,Apartment,Entire home/apt,4,239,200,75,2,1125
Charming Studio–Heart of Back Bay!,13,9,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,2,139,400,95,3,1125
Boston's Best Newbury Street Flat!!,19,10,2,23676983,Brooke,2501,within a day,100,Apartment,Entire home/apt,2,225,400,65,2,1125
Beacon Street Loft - Amazing Location,3,9,1,88129265,Jason,1869,within an hour,100,Loft,Entire home/apt,3,100,100,20,1,4
Lovely Back Bay Pearl 1BR,23,10,3,54952385,Vera,2070,within an hour,100,Condominium,Private room,2,109,100,40,2,15
Brownstone in heart of Back Bay,77,9,3,42431392,Frank,2216,within an hour,100,Townhouse,Entire home/apt,3,150,500,80,1,1125
"Marlborough St, steps to Newbury St",2,9,1,62106939,Attuck,2019,within a few hours,100,Condominium,Entire home/apt,3,350,500,100,1,1125
Penthouse in Back Bay,12,10,2,65907845,Douglas,1991,within a few hours,100,Apartment,Entire home/apt,4,281,200,83,4,1125
"Back Bay PH, private roof deck",17,9,3,3137257,Furnished Rentals,3333,within a few hours,97,Apartment,Entire home/apt,3,170,500,125,7,1125
3 BD single family.  Steps to everything w/ Patio!,15,10,2,24196977,Jenny,2487,within a few hours,100,House,Entire home/apt,6,550,1000,85,3,1125
Boston Back Bay/Copley Square,12,9,3,30658962,Marlo,2357,within a few hours,100,Apartment,Entire home/apt,4,325,400,100,3,1125
Back Bay Penthouse 2 Bed with Private Terrace!,3,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,6,150,500,125,2,1125
Back Bay Gem on Commonwealth Avenue,15,9,3,31235595,Brooks,2348,within a day,100,Apartment,Entire home/apt,4,425,500,90,7,1125
The Best Location In Boston,24,9,3,18142992,Jesse,2621,within an hour,100,Townhouse,Entire home/apt,3,199,100,29,1,1125
Back Bay Gem 1,46,10,3,47618394,Liesl,2151,within an hour,100,Apartment,Entire home/apt,2,145,200,60,2,1125
Back Bay Apt - Close and Convenient to Everywhere,11,9,1,6032648,Madison,3071,within an hour,80,Apartment,Entire home/apt,2,200,95,20,2,1125
Classic Back Bay 3 Bed/1 Ba Flat,21,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,6,568,500,125,2,1125
Lofty 2BD w/ Lg Private Roof Deck,10,10,3,8790904,Albert,2927,within an hour,100,Apartment,Entire home/apt,2,250,300,75,2,30
Stunning Back Bay Studio Apartment,1,10,3,39051883,Gretchen,2251,within a few hours,100,Apartment,Entire home/apt,2,189,500,150,13,365
Back Bay 1  Bedroom - Charles River,19,9,1,32540732,Nancy,2329,within an hour,100,Apartment,Entire home/apt,4,200,200,100,1,1125
Everybody's favorite! BACK BAY FENW,26,8,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,6,207,99,50,1,1125
Perfect Back Bay 1BR; Walk the City,33,10,1,22726574,Nathan,2525,within a few hours,100,Apartment,Entire home/apt,3,259,200,50,2,1125
Adorable 2BR in heart of Boston,33,9,2,17010369,B.J,2647,within a few hours,100,Apartment,Entire home/apt,4,300,150,75,2,4
Private Room in Back Bay Brownstone,35,10,2,9969381,Brady,2866,within an hour,100,Apartment,Private room,2,140,200,50,2,5
A Home In The Heart Of It All,9,9,1,70633440,Nicholas,1960,within an hour,100,Apartment,Entire home/apt,4,176,500,75,4,14
Small Studio in Back Bay - 1st Flr,40,8,1,13765922,Michael,2726,within a day,100,Apartment,Entire home/apt,4,200,100,50,1,30
Large Private Room in Heart of Back Bay 1,3,10,3,91548283,Anthony,1851,within an hour,100,Condominium,Private room,2,130,199,42,3,1125
"Stay on Newbury St, Steps to ALL!",19,9,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,8,200,99,60,1,1125
Gorgeous Brand New Spacious Studio,4,10,3,4195134,LifestyleFurnishedApartments,3224,within a day,70,Apartment,Entire home/apt,2,130,1000,150,60,365
Brand New One Bedroom in Back Bay,19,10,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,3,200,450,80,3,45
Large Private Room in Heart of Back Bay 2,4,10,3,91548283,Anthony,1851,within an hour,100,Condominium,Private room,2,130,199,42,3,1125
BEAUTIFUL BOSTON BROWNSTONE,6,10,2,21609039,Susan,2553,within an hour,100,Condominium,Entire home/apt,4,450,500,80,2,90
Totally Amazing XL Studio w Skyline,1,10,3,4195134,LifestyleFurnishedApartments,3224,within a day,70,Apartment,Entire home/apt,2,130,1250,150,2,365
"Beautiful 4BD/2BA Gem! Near airport, city, subway!",27,10,2,1431134,Bruno,3588,within an hour,100,Condominium,Entire home/apt,8,210,300,125,3,30
Private room in single family house,11,9,3,4472902,Ernesto,3190,within a few hours,100,House,Private room,1,95,500,30,3,1125
Top floor cozy apartment,4,9,3,7772875,Ana,2973,within an hour,96,Apartment,Entire home/apt,5,119,300,75,2,1125
Perfect for your E Boston layover,35,9,3,41542719,Ivan,2225,within an hour,100,Apartment,Private room,1,65,100,10,1,1125
Lux Boston 2 BR Apt near train,15,10,2,44617326,Caroline,2190,within an hour,100,Apartment,Entire home/apt,5,250,250,95,1,1125
71-1 Minutes to Boston-Near Beach,49,8,3,6331373,Quinn-May,3051,within an hour,100,House,Private room,3,68,100,20,1,180
Renovated 1 Bed near Airport,1,6,3,25716111,Eric,2446,within an hour,100,Apartment,Entire home/apt,2,95,250,69,4,13
A cozy room close to Downtown,22,8,3,42333465,Dan,2217,within an hour,100,Apartment,Private room,2,80,100,25,1,1125
Elegant & Classy Apartment in Boston,8,10,3,14685544,Susie & Mike,2703,within an hour,100,Apartment,Entire home/apt,4,115,100,50,1,27
Cozy apartment,25,8,3,7772875,Ana,2973,within an hour,96,Apartment,Entire home/apt,5,145,300,75,2,1125
69-3 Minutes to Boston-Near Beach,41,8,3,6331373,Quinn-May,3051,within an hour,100,House,Private room,2,64,100,20,1,180
Warm 1 Bedroom Near Airport,1,8,3,5275817,Leah,3122,within a few hours,100,Apartment,Entire home/apt,3,63,500,50,1,1125
City and Harbor views,39,9,3,10545148,Perla,2371,within a few hours,91,Apartment,Entire home/apt,4,189,250,50,2,1125
Eagle Hill Cozy Apartment,3,7,3,24273802,Eris,2485,within a few hours,100,Apartment,Entire home/apt,3,128,100,35,2,15
Amazing Harbor View w/Private Deck,13,8,3,5618949,Alan,3098,within an hour,100,Apartment,Entire home/apt,5,144,100,40,2,1125
"Walk to T,Beach,Gd eats, 5 rooms",52,9,3,5715872,Joan,3091,within an hour,100,House,Entire home/apt,3,112,185,50,2,30
69-5 Minutes to Boston - Near Beach,42,8,3,6331373,Quinn-May,3051,within an hour,100,House,Private room,3,68,100,20,1,1125
Harborside Home Next 2 Logan/Train/Historic Boston,16,10,3,15589117,Linda & Theresa,2681,within an hour,100,Apartment,Entire home/apt,2,150,300,75,2,1125
Cozy room near LoganAirport & City!,22,9,3,45928122,Laura,2173,within a day,100,Apartment,Private room,2,65,95,10,1,4
Lux Boston 2 BR Apt near train #2,1,10,1,44617326,Caroline,2190,within an hour,100,Apartment,Entire home/apt,5,250,250,95,1,1125
Harbor View 1BR Private Deck Near Airport & Trains,3,7,3,5618949,Alan,3098,within an hour,100,Apartment,Entire home/apt,5,174,100,40,2,1125
A sunny room close to Airport,25,9,3,42333465,Dan,2217,within an hour,100,Apartment,Private room,3,95,150,35,1,1125
Extended stays,4,10,1,51992629,Jef,2096,within a few hours,100,Apartment,Entire home/apt,2,150,100,50,4,10
*** Sunny apartment *** near Airport & Train stop,25,9,2,23777641,Gavin,2498,within an hour,100,Apartment,Entire home/apt,3,99,350,40,3,1125
Sunny 2/1 Modern Condo Near Subway,23,9,3,3594203,Shawn,3287,within an hour,100,Condominium,Entire home/apt,4,99,300,99,2,1125
**Studio by Airport and T Station**,49,9,2,23777641,Gavin,2498,within an hour,100,Apartment,Entire home/apt,2,70,350,40,21,1125
Private Room Logan Airport,1,6,1,22402141,Mirian,2533,within an hour,100,House,Private room,1,80,500,100,7,9999
Sunny renovated 1 bedroom in friendly East Boston,9,10,1,507084,Nicole,3810,within an hour,100,Apartment,Entire home/apt,4,145,100,35,1,1125
Small Room for one person! Twin bed,7,10,2,80820612,Hugo,1905,within an hour,100,Apartment,Private room,1,40,100,20,1,1125
"1 Cozy Room 3mins walk to Train, 5mins to Airport",24,10,2,66377071,Hector,1988,within an hour,100,Townhouse,Private room,1,44,100,5,1,1
Nice room steps to Airport & Subway,65,9,3,41542719,Ivan,2225,within an hour,100,Apartment,Private room,2,89,100,10,1,1125
Modern condo close to downtown,9,10,1,19646638,Boyd,2598,within a day,100,Condominium,Entire home/apt,4,124,500,60,2,1125
East Boston Room,21,9,1,24014785,Andrey,2492,within an hour,100,House,Private room,2,85,150,10,1,1125
Harbor Side 1BR Nr. Airport & Train,7,4,3,5618949,Alan,3098,within an hour,100,Apartment,Entire home/apt,4,135,100,40,1,1125
Minutes to Boston - Near Ocean 69-1,58,8,3,6331373,Quinn-May,3051,within an hour,100,House,Private room,3,72,100,20,1,180
"Private room 3 mins to T, 5mins driving to airport",8,10,1,66377071,Hector,1988,within an hour,100,Apartment,Private room,1,45,100,5,1,1
Minutes to Boston-Near Beach 71-5,75,9,3,6331373,Quinn-May,3051,within an hour,100,House,Private room,3,72,100,20,1,1125
"Cozy Room near Logan Airport ,T",90,9,3,41542719,Ivan,2225,within an hour,100,Apartment,Private room,1,79,100,10,1,1125
Modern Navy Yard Apartment,7,9,2,15151322,Jianmin,2692,within a day,82,Apartment,Entire home/apt,3,225,150,50,2,7
Navy Yard Condo on the Water!,19,10,1,29472153,Kristin,2377,within a few hours,100,Apartment,Entire home/apt,2,199,100,25,1,1125
Historic Charlestown Brownstone,4,9,3,19241302,Deborah,2605,within a day,90,House,Entire home/apt,6,600,500,100,4,28
Grand Colonial in Historic Boston.,112,9,3,3842205,Nicolo,3263,within an hour,100,House,Entire home/apt,7,500,500,125,1,1125
Amazing & convenient Charlestown Navy Yard Apt,14,9,2,76412054,Chorm,1928,within an hour,100,Condominium,Entire home/apt,6,234,100,75,2,14
"Unique 3 Bed, 2 Bath Apartment ",98,10,2,10477638,Robert,2842,within an hour,90,Apartment,Entire home/apt,6,375,500,80,2,1125
Comfortable room near Subway 14-3b,1,10,3,38092410,Ketai,2261,within a few hours,96,House,Private room,1,55,200,25,1,1125
Historic 3+br in Heart of Boston,18,10,3,29688938,Heather And Mike,2373,within a few hours,100,House,Entire home/apt,6,325,300,50,2,7
The Rainbow Room,2,10,2,3432624,Alex,3304,within a few hours,100,House,Private room,1,135,250,25,3,30
"Sunny, Top Floor 2BR with Views",24,10,3,36088668,Christina,2284,within a day,100,Condominium,Entire home/apt,4,225,500,50,2,1125
Charlestown Penthouse 3 bedroom/ 2 baths,1,10,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,6,315,500,125,2,90
Historic and Charming Brownstone!!,4,9,3,14133713,Katy,2717,within a few hours,83,House,Entire home/apt,8,680,1000,200,3,1125
Historic Charlestown 2 bedroom,3,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,4,250,500,125,3,90
Stunning 2-Bed/2-Bath Townhouse in Historic Area,1,10,3,3432624,Alex,3304,within a few hours,100,Apartment,Entire home/apt,3,330,250,85,2,120
Beautiful City Rental,10,10,2,22842174,Carrie,2522,within a day,80,Condominium,Entire home/apt,4,165,95,50,2,4
"14 min to Harvard, MIT, Downtown Crossing and MGH",1,6,1,25064382,Al,2462,within an hour,100,Apartment,Private room,2,39,200,25,14,1125
Charlestown Penthouse w/ roof deck,18,9,2,38352201,John,2258,within a day,90,Apartment,Entire home/apt,2,200,500,80,2,1125
Penthouse Bedroom on Freedom Trail,47,9,2,5622624,Ashley,3098,within a few hours,100,Apartment,Private room,2,125,250,60,4,1125
Beautiful Bunker Hill 2 BD,27,8,3,38188681,Melissa,2260,within an hour,100,Apartment,Entire home/apt,8,299,3000,120,1,1125
BOSTON JUST IN FRONT MGH HOSPITAL,8,10,3,28763698,Eleanore,2389,within a few hours,100,Apartment,Private room,1,145,450,50,3,1125
BOSTON - MGH -Beacon Hill- Downtown- great locatio,4,8,3,28763698,Eleanore,2389,within a few hours,100,Apartment,Private room,1,155,400,35,3,120
Corner 1 bed facing Golden Dome,11,9,3,26988,Anne,4440,within a few hours,100,Apartment,Entire home/apt,3,110,1000,250,6,90
HISTORIC BEACON HILL-ENJOY OUR CAT,19,9,3,2120816,Larry David,3446,within a few hours,75,Apartment,Entire home/apt,2,425,275,55,2,180
2990$ / mo. sunny & renovated 2 BDR in Beacon Hill,2,10,3,741190,Vincent,3738,within a day,100,Apartment,Entire home/apt,4,128,1000,100,15,45
Perfect Location Beacon Hill Studio,36,8,3,5618949,Alan,3098,within an hour,100,Apartment,Entire home/apt,2,89,100,40,1,1125
Beautiful Beacon Hill 1 Bedroom,3,9,1,12192889,Christina,2774,within an hour,100,Apartment,Entire home/apt,3,275,200,65,2,5
1 Bedroom in Beacon Hill,2,9,1,15681500,Jay,2679,within a few hours,100,Apartment,Private room,1,85,95,10,1,1125
New 3 Bed/2 Ba Duplex - Beacon Hill,7,8,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,6,769,500,125,2,1125
Beacon Hill 2bed2bath BEST LOCATION,8,8,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,8,267,99,65,1,1125
Modern Beacon Hill 2 Bedroom ,33,10,3,11206328,Natasha,2806,within a day,90,Apartment,Entire home/apt,3,220,100,40,2,1125
An Elegant Condo in Beacon Hill,49,9,3,47470056,Kevin,2153,within an hour,100,Condominium,Entire home/apt,2,210,150,80,2,1125
Little Room on the Hill,17,9,3,35409793,Maggie,2292,within an hour,100,Apartment,Private room,1,113,350,20,1,1125
Luxury Beacon Hill Apartment 1-BR,66,10,3,6508758,Xerxes,3041,within an hour,100,Apartment,Entire home/apt,2,238,200,79,2,30
Beacon Hill Studio w/ patio&parking,39,10,2,39934024,Jim,2242,within an hour,100,Apartment,Entire home/apt,2,200,150,50,3,1125
"Renovated, State House View",9,10,3,26988,Anne,4440,within a few hours,100,Condominium,Entire home/apt,3,200,1000,250,6,365
Historic Beacon Hill Duplex Condo 2 bedroom Queen,23,9,3,23901135,Lucy,2495,within an hour,100,Condominium,Entire home/apt,4,305,100,100,3,365
Renovated Beacon Hill Beauty,35,10,2,35486394,Emily,2291,within a day,100,Apartment,Entire home/apt,2,149,250,50,2,1125
Beacon Hill -Charles Street Studio ,28,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,2,200,500,100,2,1125
Boston apartment with 2 double beds,7,9,3,45290513,Carly,2181,within a day,85,Apartment,Entire home/apt,3,275,500,100,3,14
"Beacon Hill, Charles St, MGH, Red T",24,10,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,8,200,199,65,1,1125
Historic Beacon Hill/BackBay WOW!!!,5,9,3,27075316,Lynne,2420,within a few hours,100,Apartment,Entire home/apt,2,375,4000,125,7,180
Beacon Hill Townhouse,8,10,3,45651169,Katherine,2176,within a few hours,100,House,Entire home/apt,8,650,500,200,4,1125
Beacon Hill Downtown Sofabed in LR,41,9,3,1416883,Roger,3592,within an hour,100,Apartment,Shared room,1,100,300,40,2,30
NEW- Boheme 1bdroom in Beacon Hill!,18,9,3,31394729,Sarah,2345,within a few hours,100,Apartment,Entire home/apt,2,200,300,30,2,1125
Great room in the heart of Beacon Hill,3,9,1,25578688,Giulio,2448,within a day,100,Apartment,Private room,2,330,330,40,1,8
Heart of Boston - Beacon Hill,13,10,3,5670307,Carol,3095,within an hour,100,Apartment,Entire home/apt,4,229,300,95,3,29
Beacon Hill Luxury - Roof Deck!,2,10,3,28090138,Gloria,2400,within an hour,100,Apartment,Private room,2,200,180,100,3,1125
Comfortable Studio on the Boston Commons,8,10,3,81015711,Larry,1905,within an hour,100,Apartment,Entire home/apt,2,150,150,25,1,1
"Large, Sunny Beacon Hill Studio",82,9,3,17288874,Joseph,2640,within a day,100,Apartment,Entire home/apt,2,220,350,85,1,1125
Beacon Hill  1BR Amazing Views,6,10,3,2319506,Jack,3419,within an hour,100,Apartment,Entire home/apt,2,147,147,37,2,10
"Huge, Stately, Clean, Beacon Hill, Reno, 1bd/1bh",8,10,1,53427121,Michael,2082,within a day,100,Apartment,Entire home/apt,2,275,500,100,3,1125
"Top floor Brownstone, tree-lined st",2,9,3,26988,Anne,4440,within a few hours,100,Condominium,Entire home/apt,2,130,1000,150,14,365
Great Private Room in Beacon Hill,20,9,2,29187425,Olja,2382,within a few hours,100,Apartment,Private room,2,150,200,60,3,1125
Beautiful Boston Townhouse Living,9,10,3,10502779,Peter,2840,within a few hours,100,Apartment,Entire home/apt,7,849,1500,150,5,28
"Beacon Hill, Steps to Boston Common",27,9,3,3654852,Jay,3281,within an hour,100,Apartment,Entire home/apt,2,195,300,60,9,1125
Beacon Hill's Charles St.,29,9,3,690922,Arthur,3751,within an hour,100,Apartment,Private room,2,130,200,50,2,1125
Bright Apartment Near Everything,9,10,3,5361449,Galen,3116,within an hour,90,Apartment,Entire home/apt,3,289,250,75,6,1125
Spacious 1 bed facing State House,8,9,3,26988,Anne,4440,within a few hours,100,Apartment,Entire home/apt,3,175,1000,250,5,365
BEACON HILL FABULOUS ONE BEDROOM,83,10,3,19357187,Paul,2603,within an hour,100,Apartment,Entire home/apt,4,225,150,50,2,27
Beacon Hill Studio across from Public Gardens,9,9,3,60362084,Bradford,2031,within an hour,100,Apartment,Entire home/apt,2,175,400,65,2,7
Central Boston Beacon Hill 2brm,154,9,3,2006852,Jay,3463,within an hour,100,Apartment,Entire home/apt,4,220,150,70,1,1125
"Beacon Hill- 2br, 2 bath Personal Home",3,10,3,41766550,Mike,2223,within a few hours,100,Condominium,Entire home/apt,4,300,200,100,2,1125
1 Bed: Best Location In The City!,6,10,3,28123912,Ned,2400,within an hour,100,Apartment,Entire home/apt,2,160,400,110,3,1125
Gorgeous Boston Townhouse Apartment,11,9,3,10502779,Peter,2840,within a few hours,100,Townhouse,Entire home/apt,7,700,1500,150,5,30
Beautiful 1BD in Beacon Hill,51,10,2,11308029,Liz,2803,within a few hours,100,Apartment,Entire home/apt,2,179,300,30,1,6
Huge Beacon Hill House - Roof Deck!,44,9,3,28090138,Gloria,2400,within an hour,100,House,Entire home/apt,7,690,250,250,3,1125
Downtown Boston - Beacon Hill - New,59,9,3,1416883,Roger,3592,within an hour,100,Apartment,Private room,1,175,300,30,2,35
Large 3.5 BR|2 BA Penthouse Duplex,56,9,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,8,600,600,200,3,60
"2nd floor, 2 story in Beacon Hill",24,10,3,45692962,Brynn,2176,within an hour,100,Apartment,Entire home/apt,4,500,300,50,2,1125
1BD in Beacon Hill w. Amazing roof,18,9,3,362507,Can,3888,within an hour,100,Apartment,Entire home/apt,3,250,1000,150,1,1125
Sunny studio in a great location.,5,9,3,23531248,Andrea,2504,within a few hours,100,Apartment,Entire home/apt,2,140,1000,50,2,1125
"Classic, Quiet Beacon Hill Apt.",8,9,2,62197455,Chris,2018,within a few hours,100,Apartment,Entire home/apt,2,210,250,90,3,1125
Airy Beacon Hill Flat w City Views,18,9,3,20907980,Jay,2571,within a few hours,100,Apartment,Entire home/apt,2,188,500,50,5,1125
Renovated 2BR | 1.5BA on Charles St,62,10,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,5,375,425,125,3,45
Beacon Hill Townhouse near MGH,60,10,3,7629859,Bernardo,2980,within an hour,100,Apartment,Entire home/apt,2,245,200,80,3,365
Beacon Hill on Charles (#2),33,9,3,690922,Arthur,3751,within an hour,100,Apartment,Private room,2,130,200,50,2,1125
Brand New Beacon Hill Penthouse!,3,10,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,7,250,150,65,1,1125
Awesome North End Studio,28,10,2,6065334,Dave,3069,within a few hours,100,Apartment,Entire home/apt,1,120,150,25,1,1125
Beacon Hill Gem! Spacious One Bedroom,14,9,1,4020046,Krysti,3243,within an hour,95,Apartment,Entire home/apt,3,159,200,19,1,1125
Beacon Hill -Charles Street Studio,5,10,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,2,229,500,100,2,1125
Spectacular Beacon Hill 1 bedroom,7,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,4,210,500,100,2,1125
Spectacular Beacon Hill 1 bedroom,9,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,4,229,500,100,2,1125
Apartment close to everything!,85,10,3,28123912,Ned,2400,within an hour,100,Apartment,Entire home/apt,2,160,500,110,2,1125
The Red Brick Road,1,10,2,17887117,Nike,2627,within an hour,100,Apartment,Entire home/apt,2,175,150,30,2,1125
Large Studio in Theater District,74,8,2,2356643,Ahmed,3415,within a few hours,94,Apartment,Entire home/apt,3,133,100,45,1,1125
Fab Dwntwn Studio Theater & Common,10,8,3,5618949,Alan,3098,within an hour,100,Apartment,Entire home/apt,3,158,100,40,2,1125
Nice Furnished Apt by Theater Distr,67,8,2,2356643,Ahmed,3415,within a few hours,94,Apartment,Entire home/apt,3,150,100,45,1,1125
Sleek 2BR in Downtown Boston,5,10,3,12243051,Flatbook,2772,within a few hours,71,Loft,Entire home/apt,4,279,400,95,3,1125
Lux 3 floor penthouse with roof deck in Downtown,6,9,3,22304512,Juan,2536,within a few hours,100,Loft,Entire home/apt,7,500,500,160,1,600
Downtown Studio Theater Dist Common,76,8,2,2356643,Ahmed,3415,within a few hours,94,Apartment,Entire home/apt,2,152,100,35,1,1125
A View of Boston Common,43,9,2,43959997,Emma,2198,within an hour,100,Apartment,Entire home/apt,6,295,300,100,2,1125
